"istatId","name","month","d15","d16","d17","d18","d19","d20","istatMarch","ecoBG","bsToday","mar19","mar20","officialCovid","population","nameItSt","lng","lat"
"1001","Agli�","3","1","3","1","4","3","7","1","0","0","0","0","0","2644","Agliè","7.76860000","45.36343304"
"1006","Almese","3","3","1","2","4","2","5","1","0","0","0","0","0","6303","Almese","7.39518194","45.11766321"
"1013","Avigliana","3","7","11","10","7","5","12","1","0","0","0","0","0","12129","Avigliana","7.39632339","45.07935742"
"1020","Banchette","3","6","3","2","5","1","6","1","0","0","0","0","0","3280","Banchette","7.85656384","45.46085010"
"1024","Beinasco","3","18","13","12","24","21","30","1","0","0","0","0","0","18104","Beinasco","7.57915804","45.02207899"
"1033","Bosconero","3","3","3","2","3","1","6","1","0","0","0","0","0","3056","Bosconero","7.76506984","45.26856393"
"1038","Bruino","3","9","3","6","3","4","7","1","0","0","0","0","0","8479","Bruino","7.46769111","45.02023250"
"1045","Buttigliera Alta","3","5","8","2","7","6","8","1","0","0","0","0","0","6386","Buttigliera Alta","7.43678073","45.06701514"
"1059","Carmagnola","3","13","17","20","25","23","30","1","0","0","0","0","0","28563","Carmagnola","7.71815745","44.84654865"
"1066","Castellamonte","3","10","11","8","5","10","10","1","0","0","0","0","0","9917","Castellamonte","7.70986533","45.38333540"
"1093","Condove","3","4","3","3","6","4","5","1","0","0","0","0","0","4670","Condove","7.31072991","45.11714338"
"1110","Frossasco","3","2","4","7","1","3","5","1","0","0","0","0","0","2840","Frossasco","7.35077043","44.93362239"
"1112","Gassino Torinese","3","10","8","7","8","7","10","1","0","0","0","0","0","9536","Gassino Torinese","7.82489660","45.12745280"
"1120","Grugliasco","3","28","25","36","25","27","35","1","0","0","0","0","0","37194","Grugliasco","7.57780057","45.06211095"
"1125","Ivrea","3","20","17","23","30","22","27","1","0","0","0","0","0","23592","Ivrea","7.87596694","45.46618879"
"1128","Lanzo Torinese","3","6","5","7","2","6","11","1","0","0","0","0","0","5150","Lanzo Torinese","7.47661560","45.27231992"
"1139","Luserna San Giovanni","3","13","9","14","13","13","15","1","0","0","0","0","0","7531","Luserna San Giovanni","7.24579065","44.81432177"
"1146","Mathi","3","4","1","3","6","1","6","1","0","0","0","0","0","3985","Mathi","7.54132093","45.25664137"
"1168","None","3","4","6","5","5","6","9","1","0","0","0","0","0","7998","None","7.54123958","44.93231301"
"1171","Orbassano","3","22","19","12","26","21","29","1","0","0","0","0","0","22537","Orbassano","7.53695676","45.00703303"
"1178","Pancalieri","3","1","1","5","3","0","4","1","0","0","0","0","0","1985","Pancalieri","7.58816166","44.83047398"
"1194","Piossasco","3","9","19","12","16","8","24","1","0","0","0","0","0","18186","Piossasco","7.46275512","44.99070006"
"1195","Piscina","3","2","3","3","5","3","8","1","0","0","0","0","0","3450","Piscina","7.42589738","44.91946420"
"1197","Poirino","3","9","7","8","13","8","13","1","0","0","0","0","0","10220","Poirino","7.84361932","44.92119885"
"1215","Riva presso Chieri","3","7","2","5","2","4","5","1","0","0","0","0","0","4207","Riva presso Chieri","7.86919927","44.98628102"
"1216","Rivara","3","2","2","1","1","3","3","1","0","0","0","0","0","2666","Rivara","7.62506151","45.33231529"
"1217","Rivarolo Canavese","3","5","7","11","16","10","16","1","0","0","0","0","0","12356","Rivarolo Canavese","7.72522130","45.33279488"
"1241","Sangano","3","3","8","1","2","2","5","1","0","0","0","0","0","3807","Sangano","7.45053852","45.02623590"
"1244","San Giorgio Canavese","3","1","7","2","3","8","6","1","0","0","0","0","0","2705","San Giorgio Canavese","7.79425943","45.33544394"
"1246","San Giusto Canavese","3","0","0","3","3","1","10","1","0","0","0","0","0","3397","San Giusto Canavese","7.80833346","45.31221415"
"1249","San Mauro Torinese","3","17","12","12","17","19","22","1","0","0","0","0","0","18925","San Mauro Torinese","7.76632833","45.10309541"
"1252","San Raffaele Cimena","3","2","0","1","3","4","5","1","0","0","0","0","0","3107","San Raffaele Cimena","7.84869672","45.14722500"
"1254","San Secondo di Pinerolo","3","5","1","2","7","6","4","1","0","0","0","0","0","3608","San Secondo di Pinerolo","7.29864772","44.86656606"
"1269","Strambino","3","9","4","10","1","10","11","1","0","0","0","0","0","6336","Strambino","7.88062828","45.38458718"
"1270","Susa","3","6","7","7","11","5","9","1","0","0","0","0","0","6629","Susa","7.04641962","45.13525075"
"1280","Trofarello","3","13","13","7","10","11","15","1","0","0","0","0","0","10911","Trofarello","7.74030330","44.98596444"
"1287","Valperga","3","7","3","4","5","4","6","1","0","0","0","0","0","3163","Valperga","7.65678710","45.37027102"
"1293","Verolengo","3","3","5","5","4","3","9","1","0","0","0","0","0","4962","Verolengo","7.96715786","45.18904937"
"1307","Villar Perosa","3","10","3","3","1","4","10","1","0","0","0","0","0","4149","Villar Perosa","7.24926893","44.92019309"
"1308","Villastellone","3","3","2","4","3","6","4","1","0","0","0","0","0","4864","Villastellone","7.74535320","44.92155495"
"1314","Volpiano","3","10","17","16","13","16","22","1","0","0","0","0","0","14998","Volpiano","7.77555033","45.20189898"
"2016","Borgosesia","3","9","11","9","15","14","27","1","0","0","0","0","0","13031","Borgosesia","8.27641052","45.71672956"
"2021","Buronzo","3","1","0","2","0","1","6","1","0","0","0","0","0","916","Buronzo","8.26833442","45.48211892"
"2031","Caresanablot","3","1","2","0","1","0","4","1","0","0","0","0","0","1137","Caresanablot","8.38877273","45.35735225"
"2061","Gattinara","3","10","7","4","8","10","16","1","0","0","0","0","0","8272","Gattinara","8.37128081","45.61734452"
"2116","Roasio","3","1","1","3","1","1","4","1","0","0","0","0","0","2465","Roasio","8.28892846","45.60862395"
"2128","Saluggia","3","9","6","8","4","6","8","1","0","0","0","0","0","4170","Saluggia","8.01113811","45.23583395"
"2133","Santhi�","3","14","6","2","4","8","14","1","0","0","0","0","0","8825","Santhià","8.17435014","45.36692200"
"2148","Trino","3","12","9","6","10","9","15","1","0","0","0","0","0","7437","Trino","8.29690047","45.19420619"
"2156","Varallo","3","4","15","6","7","7","15","1","0","0","0","0","0","7542","Varallo","8.25621194","45.81403992"
"3016","Bellinzago Novarese","3","4","8","3","12","10","12","1","0","0","0","0","0","9375","Bellinzago Novarese","8.63973111","45.57030363"
"3025","Borgo Ticino","3","1","2","6","0","7","5","1","0","0","0","0","0","4929","Borgo Ticino","8.60392229","45.68806799"
"3032","Cameri","3","6","6","7","10","10","21","1","0","0","0","0","0","10770","Cameri","8.66224358","45.50102461"
"3049","Cerano","3","4","3","5","4","6","14","1","0","0","0","0","0","6728","Cerano","8.78085515","45.41067427"
"3055","Cressa","3","3","4","0","1","1","4","1","0","0","0","0","0","1571","Cressa","8.50748369","45.64799409"
"3065","Fara Novarese","3","1","6","1","1","2","8","1","0","0","0","0","0","2113","Fara Novarese","8.45911220","45.55511789"
"3066","Fontaneto d'Agogna","3","2","3","6","2","3","4","1","0","0","0","0","0","2731","Fontaneto d'Agogna","8.48458276","45.63985923"
"3073","Ghemme","3","4","7","1","3","4","12","1","0","0","0","0","0","3617","Ghemme","8.42009104","45.59781069"
"3076","Gozzano","3","6","5","7","7","7","8","1","0","0","0","0","0","5601","Gozzano","8.43465086","45.74755669"
"3079","Grignasco","3","4","6","3","6","4","9","1","0","0","0","0","0","4691","Grignasco","8.33970898","45.68190215"
"3088","Maggiora","3","2","0","1","3","3","3","1","0","0","0","0","0","1742","Maggiora","8.42099488","45.69075412"
"3106","Novara","3","116","78","99","100","98","163","1","0","0","0","0","0","101952","Novara","8.62191588","45.44588506"
