"istatId","population","lng","lat","ANPR","name","province","region","month","d15","d16","d17","d18","d19","d20","mar19","mar20","officialCovid","istatMarch","ecoBG","bsToday"
"1001","2644","7.76860000","45.36343304","1001","Agli�","Torino","Piemonte","3","2","3","3","4","3","7","0","0","0","1","0","0"
"1002","3819","7.48443104","44.91688598","1002","Airasca","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1003","462","7.30434392","45.31511014","1003","Ala di Stura","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1004","1791","7.94914491","45.43389336","1004","Albiano d'Ivrea","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1006","6303","7.39518194","45.11766321","1006","Almese","Torino","Piemonte","3","4","2","2","4","2","5","0","0","0","1","0","0"
"1007","277","7.57859732","45.40998223","1007","Alpette","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1008","16893","7.52426733","45.09446973","1008","Alpignano","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1009","1966","7.86994864","45.03586095","1009","Andezeno","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1010","512","7.87383937","45.52837479","1010","Andrate","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1011","870","7.22429215","44.84344991","1011","Angrogna","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1012","1039","7.90244635","45.04402899","1012","Arignano","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1013","12129","7.39632339","45.07935742","1013","Avigliana","Torino","Piemonte","3","9","12","10","8","6","14","0","0","0","1","0","0"
"1014","1347","7.99477070","45.42486190","1014","Azeglio","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1015","816","7.75691809","45.38624929","1015","Bairo","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1016","3161","7.51930957","45.27003001","1016","Balangero","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1017","534","7.74444451","45.40840358","1017","Baldissero Canavese","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1018","3783","7.81780767","45.06842334",NULL,"Baldissero Torinese","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1019","95","7.21831414","45.30229406",NULL,"Balme","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1020","3280","7.85656384","45.46085010","1020","Banchette","Torino","Piemonte","3","7","4","2","5","1","6","0","0","0","1","0","0"
"1021","1623","7.63051093","45.29050020","1021","Barbania","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1022","3212","6.70382393","45.07816901","1022","Bardonecchia","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1023","599","7.87055626","45.32772558","1023","Barone Canavese","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1024","18104","7.57915804","45.02207899","1024","Beinasco","Torino","Piemonte","3","20","14","13","27","23","38","0","0","0","1","0","0"
"1025","3376","7.28978596","44.79758015","1025","Bibiana","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1026","566","7.11790449","44.80770617","1026","Bobbio Pellice","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1027","2112","7.94534881","45.47335720","1027","Bollengo","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1028","11723","7.65789441","45.15198241","1028","Borgaro Torinese","Torino","Piemonte","3","13","7","11","13","6","11","0","0","0","1","0","0"
"1029","550","7.66773369","45.41681320","1029","Borgiallo","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1030","3643","7.85852209","45.51300686","1030","Borgofranco d'Ivrea","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1031","835","7.98879962","45.36155134","1031","Borgomasino","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1032","2320","7.24121397","45.12313936","1032","Borgone Susa","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1033","3056","7.76506984","45.26856393","1033","Bosconero","Torino","Piemonte","3","3","3","2","3","1","8","0","0","0","1","0","0"
"1034","8402","7.84147562","45.17765247","1034","Brandizzo","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1035","4517","7.30288754","44.82558164","1035","Bricherasio","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1036","460","7.80333443","45.49276005","1036","Brosso","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1037","471","8.07127843","45.11741930","1037","Brozolo","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1038","8479","7.46769111","45.02023250","1038","Bruino","Torino","Piemonte","3","9","3","6","3","6","7","0","0","0","1","0","0"
"1039","1726","8.06009417","45.15595512","1039","Brusasco","Torino","Piemonte","3","4","3","4","2","3","7","0","0","0","1","0","0"
"1040","1545","7.19397692","45.14312487","1040","Bruzolo","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1041","1405","7.41192286","44.87335846","1041","Buriasco","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1042","1228","7.93205672","45.48411969","1042","Burolo","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1043","1588","7.65574370","45.32883648","1043","Busano","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1044","6363","7.14931876","45.13727952","1044","Bussoleno","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1045","6386","7.43678073","45.06701514","1045","Buttigliera Alta","Torino","Piemonte","3","5","9","2","7","6","9","0","0","0","1","0","0"
"1046","3511","7.51812356","45.24471151","1046","Cafasse","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1047","7483","7.89150532","45.30786205","1047","Caluso","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1048","6215","7.77932471","44.97345960","1048","Cambiano","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1049","1382","7.32503803","44.80212440",NULL,"Campiglione Fenile","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1050","1286","7.88661250","45.32816809","1050","Candia Canavese","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1051","5566","7.60121104","44.96026547",NULL,"Candiolo","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1052","294","7.59521831","45.37434585","1052","Canischio","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1053","2527","7.33260383","44.94030975","1053","Cantalupa","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1054","554","7.38167977","45.34323553","1054","Cantoira","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1055","2116","7.33250655","45.11786515","1055","Caprie","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1056","995","7.96021360","45.39860532","1056","Caravino","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1057","772","7.81230448","45.58444747","1057","Carema","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1058","9156","7.67534298","44.90666664","1058","Carignano","Torino","Piemonte","3","10","12","8","7","6","12","0","0","0","1","0","0"
"1059","28563","7.71815745","44.84654865","1059","Carmagnola","Torino","Piemonte","3","14","21","21","30","28","39","0","0","0","1","0","0"
"1060","1820","7.94044052","45.12996270","1060","Casalborgone","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1061","1491","7.90469845","45.47845422","1061","Cascinette d'Ivrea","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1062","2931","7.48320717","45.10588105","1062","Caselette","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1063","13389","7.64818634","45.17716554","1063","Caselle Torinese","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1064","1791","7.88698844","45.16060833","1064","Castagneto Po","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1065","2193","7.56655619","44.89861960","1065","Castagnole Piemonte","Torino","Piemonte","3","0","0","0","0","0","0","0","0","0","0","0","0"
