Istat,Comune,Prov,Reg,Pop,2019-03,2020-03,Ufficiali Covid
16001,Adrara San Martino,BG,LOM,2171,,,
16002,Adrara San Rocco,BG,LOM,857,0,1,0
16003,Albano Sant'Alessandro,BG,LOM,8075,,,
16004,Albino,BG,LOM,18186,19,145,56
16248,Algua,BG,LOM,726,,,
16005,Alm�,BG,LOM,5736,,,
16006,Almenno San Bartolomeo,BG,LOM,6018,1,11,3
16007,Almenno San Salvatore,BG,LOM,5825,,,
16008,Alzano Lombardo,BG,LOM,13757,9,101,54
16009,Ambivere,BG,LOM,2343,,,
16010,Antegnate,BG,LOM,3194,,,
16011,Arcene,BG,LOM,4774,,,
16012,Ardesio,BG,LOM,3651,,,
16013,Arzago d'Adda,BG,LOM,2811,,,
16014,Averara,BG,LOM,185,,,
16015,Aviatico,BG,LOM,525,,,
16016,Azzano San Paolo,BG,LOM,7685,8,32,14
16017,Azzone,BG,LOM,437,0,1,0
16018,Bagnatica,BG,LOM,4190,4,16,11
16019,Barbata,BG,LOM,743,0,1,0
16020,Bariano,BG,LOM,4431,,,
16021,Barzana,BG,LOM,1769,,,
16022,Bedulita,BG,LOM,734,1,1,0
16023,Berbenno,BG,LOM,2492,3,9,2
16024,Bergamo,BG,LOM,119551,125,553,201
16025,Berzo San Fermo,BG,LOM,1309,,,
16026,Bianzano,BG,LOM,604,2,6,3
16027,Blello,BG,LOM,79,,,
16028,Bolgare,BG,LOM,5698,,,
16029,Boltiere,BG,LOM,5757,,,
16030,Bonate Sopra,BG,LOM,8964,,,
16031,Bonate Sotto,BG,LOM,6606,4,10,2
16032,Borgo di Terzo,BG,LOM,1134,,,
16033,Bossico,BG,LOM,977,2,5,1
16034,Bottanuco,BG,LOM,5254,,,
16035,Bracca,BG,LOM,767,0,5,1
16036,Branzi,BG,LOM,727,,,
16037,Brembate,BG,LOM,8234,,,
16038,Brembate di Sopra,BG,LOM,7832,,,
16039,Brembilla,BG,LOM,4179,,,
16040,Brignano Gera d'Adda,BG,LOM,5901,,,
16041,Brumano,BG,LOM,95,,,
16042,Brusaporto,BG,LOM,5354,,,
16043,Calcinate,BG,LOM,5878,,,
16044,Calcio,BG,LOM,5410,,,
16046,Calusco d'Adda,BG,LOM,8342,,,
16047,Calvenzano,BG,LOM,4030,2,25,11
16048,Camerata Cornello,BG,LOM,619,1,7,2
16049,Canonica d'Adda,BG,LOM,4455,,,
16050,Capizzone,BG,LOM,1347,,,
16051,Capriate San Gervasio,BG,LOM,7819,,,
16052,Caprino Bergamasco,BG,LOM,3120,,,
16053,Caravaggio,BG,LOM,16228,14,56,24
16055,Carobbio degli Angeli,BG,LOM,4619,2,9,4
16056,Carona,BG,LOM,355,,,
16057,Carvico,BG,LOM,4651,,,
16058,Casazza,BG,LOM,4053,3,14,1
16059,Casirate d'Adda,BG,LOM,3956,,,
16060,Casnigo,BG,LOM,3343,,,
16061,Cassiglio,BG,LOM,120,,,
16063,Castel Rozzone,BG,LOM,2918,1,5,3
16062,Castelli Calepio,BG,LOM,10016,8,50,32
16064,Castione della Presolana,BG,LOM,3476,3,23,5
16065,Castro,BG,LOM,1438,,,
16066,Cavernago,BG,LOM,2450,2,7,5
16067,Cazzano Sant'Andrea,BG,LOM,1604,,,
16068,Cenate Sopra,BG,LOM,2524,,,
16069,Cenate Sotto,BG,LOM,3463,,,
16070,Cene,BG,LOM,4225,,,
16071,Cerete,BG,LOM,1669,0,8,1
16072,Chignolo d'Isola,BG,LOM,3239,,,
16073,Chiuduno,BG,LOM,5861,,,
16074,Cisano Bergamasco,BG,LOM,6316,,,
16075,Ciserano,BG,LOM,5769,3,18,8
16076,Cividate al Piano,BG,LOM,5194,,,
16077,Clusone,BG,LOM,8793,12,89,24
16078,Colere,BG,LOM,1141,,,
16079,Cologno al Serio,BG,LOM,10759,7,34,11
16080,Colzate,BG,LOM,1674,,,
16081,Comun Nuovo,BG,LOM,4144,,,
16082,Corna Imagna,BG,LOM,969,1,1,0
16249,Cornalba,BG,LOM,310,,,
16083,Cortenuova,BG,LOM,1959,,,
16084,Costa di Mezzate,BG,LOM,3369,,,
16247,Costa Serina,BG,LOM,980,,,
16085,Costa Valle Imagna,BG,LOM,624,,,
16086,Costa Volpino,BG,LOM,9333,,,
16087,Covo,BG,LOM,4140,4,23,9
16088,Credaro,BG,LOM,3400,,,
16089,Curno,BG,LOM,7752,13,26,9
16090,Cusio,BG,LOM,265,,,
16091,Dalmine,BG,LOM,23266,18,119,30
16092,Dossena,BG,LOM,966,1,7,2
16093,Endine Gaiano,BG,LOM,3553,2,13,6
16094,Entratico,BG,LOM,1887,,,
16096,Fara Gera d'Adda,BG,LOM,7970,,,
16097,Fara Olivana con Sola,BG,LOM,1329,,,
16098,Filago,BG,LOM,3224,,,
16099,Fino del Monte,BG,LOM,1153,,,
16100,Fiorano al Serio,BG,LOM,3097,,,
16101,Fontanella,BG,LOM,4339,,,
16102,Fonteno,BG,LOM,691,1,12,4
16103,Foppolo,BG,LOM,206,0,2,0
16104,Foresto Sparso,BG,LOM,3151,,,
16105,Fornovo San Giovanni,BG,LOM,3305,,,
16106,Fuipiano Valle Imagna,BG,LOM,226,,,
16107,Gandellino,BG,LOM,1065,,,
16108,Gandino,BG,LOM,5697,8,51,9
16109,Gandosso,BG,LOM,1527,,,
16110,Gaverina Terme,BG,LOM,931,,,
16111,Gazzaniga,BG,LOM,5161,6,49,10
16112,Gerosa,BG,LOM,360,,,
16113,Ghisalba,BG,LOM,5945,,,
16114,Gorlago,BG,LOM,5062,,,
16115,Gorle,BG,LOM,6404,3,29,10
16116,Gorno,BG,LOM,1684,,,
16117,Grassobbio,BG,LOM,6322,,,
16118,Gromo,BG,LOM,1252,,,
16119,Grone,BG,LOM,934,,,
16120,Grumello del Monte,BG,LOM,7360,,,
16121,Isola di Fondra,BG,LOM,189,0,0,0
16122,Isso,BG,LOM,664,,,
16123,Lallio,BG,LOM,4138,,,
16124,Leffe,BG,LOM,4730,,,
16125,Lenna,BG,LOM,640,3,9,1
16126,Levate,BG,LOM,3813,,,
16127,Locatello,BG,LOM,853,0,2,2
16128,Lovere,BG,LOM,5428,,,
16129,Lurano,BG,LOM,2566,,,
16130,Luzzana,BG,LOM,868,,,
16131,Madone,BG,LOM,4031,,,
16132,Mapello,BG,LOM,6446,0,11,8
16133,Martinengo,BG,LOM,10121,8,66,25
16250,Medolago,BG,LOM,2388,,,
16134,Mezzoldo,BG,LOM,196,,,
16135,Misano di Gera d'Adda,BG,LOM,2986,,,
16136,Moio de' Calvi,BG,LOM,208,,,
16137,Monasterolo del Castello,BG,LOM,1119,,,
16139,Montello,BG,LOM,3253,,,
16140,Morengo,BG,LOM,2600,,,
16141,Mornico al Serio,BG,LOM,2897,,,
16142,Mozzanica,BG,LOM,4619,,,
16143,Mozzo,BG,LOM,7488,5,20,11
16144,Nembro,BG,LOM,11636,14,135,76
16145,Olmo al Brembo,BG,LOM,525,,,
16146,Oltre il Colle,BG,LOM,1062,,,
16147,Oltressenda Alta,BG,LOM,186,,,
16148,Oneta,BG,LOM,661,,,
16149,Onore,BG,LOM,835,4,4,2
16150,Orio al Serio,BG,LOM,1752,0,8,3
16151,Ornica,BG,LOM,180,,,
16152,Osio Sopra,BG,LOM,5115,,,
16153,Osio Sotto,BG,LOM,11890,11,40,23
16154,Pagazzano,BG,LOM,2103,,,
16155,Paladina,BG,LOM,4002,4,25,15
16156,Palazzago,BG,LOM,4215,,,
16157,Palosco,BG,LOM,5801,,,
16158,Parre,BG,LOM,2815,,,
16159,Parzanica,BG,LOM,375,,,
16160,Pedrengo,BG,LOM,5777,,,
16161,Peia,BG,LOM,1857,,,
16162,Pianico,BG,LOM,1544,,,
16163,Piario,BG,LOM,1106,,,
16164,Piazza Brembana,BG,LOM,1256,,,
16165,Piazzatorre,BG,LOM,444,,,
16166,Piazzolo,BG,LOM,86,0,1,1
16167,Pognano,BG,LOM,1571,,,
16168,Ponte Nossa,BG,LOM,1923,,,
16170,Ponte San Pietro,BG,LOM,11543,9,62,22
16169,Ponteranica,BG,LOM,6825,2,26,8
16171,Pontida,BG,LOM,3229,,,
16172,Pontirolo Nuovo,BG,LOM,5102,4,8,3
16173,Pradalunga,BG,LOM,4593,7,42,23
16174,Predore,BG,LOM,1895,,,
16175,Premolo,BG,LOM,1166,,,
16176,Presezzo,BG,LOM,4896,,,
16177,Pumenengo,BG,LOM,1694,,,
16178,Ranica,BG,LOM,6018,4,22,11
16179,Ranzanico,BG,LOM,1310,,,
16180,Riva di Solto,BG,LOM,867,1,8,6
16182,Rogno,BG,LOM,3966,,,
16183,Romano di Lombardia,BG,LOM,19049,16,76,37
16184,Roncobello,BG,LOM,436,2,0,0
16185,Roncola,BG,LOM,754,,,
16186,Rota d'Imagna,BG,LOM,924,,,
16187,Rovetta,BG,LOM,3966,,,
16188,San Giovanni Bianco,BG,LOM,5094,2,41,16
16189,San Paolo d'Argon,BG,LOM,5435,,,
16190,San Pellegrino Terme,BG,LOM,4974,2,42,12
16191,Santa Brigida,BG,LOM,586,0,5,3
16192,Sant'Omobono Terme,BG,LOM,3571,,,
16193,Sarnico,BG,LOM,6652,,,
16194,Scanzorosciate,BG,LOM,9843,14,72,15
16195,Schilpario,BG,LOM,1265,2,12,2
16196,Sedrina,BG,LOM,2559,0,20,9
16197,Selvino,BG,LOM,2015,1,20,9
16198,Seriate,BG,LOM,24297,16,103,47
16199,Serina,BG,LOM,2187,6,17,7
16200,Solto Collina,BG,LOM,1709,,,
16251,Solza,BG,LOM,1948,,,
16201,Songavazzo,BG,LOM,701,1,7,2
16202,Sorisole,BG,LOM,9120,,,
16203,Sotto il Monte Giovanni XXIII,BG,LOM,4239,,,
16204,Sovere,BG,LOM,5486,,,
16205,Spinone al Lago,BG,LOM,1037,,,
16206,Spirano,BG,LOM,5652,2,30,9
16207,Stezzano,BG,LOM,12867,10,60,26
16208,Strozza,BG,LOM,1075,,,
16209,Suisio,BG,LOM,3888,,,
16210,Taleggio,BG,LOM,625,,,
16211,Tavernola Bergamasca,BG,LOM,2146,,,
16212,Telgate,BG,LOM,4847,3,19,9
