Istat,Comune,Provincia,Regione,Abitanti,2019-03,2020-03,Ufficiali Covid
17001,Acquafredda,BS,LOM,"1,615",4,11,7
17002,Adro,BS,LOM,"7,180",,,
17003,Agnosine,BS,LOM,"1,839",,,
17004,Alfianello,BS,LOM,"2,476",4,9,4
17005,Anfo,BS,LOM,487,,,
17006,Angolo Terme,BS,LOM,"2,563",,,
17007,Artogne,BS,LOM,"3,545",,,
17008,Azzano Mella,BS,LOM,"2,900",,,
17009,Bagnolo Mella,BS,LOM,"12,969",,,
17010,Bagolino,BS,LOM,"3,968",,,
17011,Barbariga,BS,LOM,"2,410",,,
17012,Barghe,BS,LOM,"1,195",,,
17013,Bassano Bresciano,BS,LOM,"2,219",,,
17014,Bedizzole,BS,LOM,"11,937",,,
17015,Berlingo,BS,LOM,"2,600",,,
17016,Berzo Demo,BS,LOM,"1,751",,,
17017,Berzo Inferiore,BS,LOM,"2,439",,,
17018,Bienno,BS,LOM,"3,615",,,
17019,Bione,BS,LOM,"1,471",,,
17020,Borgo San Giacomo,BS,LOM,"5,536",5,21,14
17021,Borgosatollo,BS,LOM,"9,232",7,30,14
17022,Borno,BS,LOM,"2,672",,,
17023,Botticino,BS,LOM,"10,792",,,
17024,Bovegno,BS,LOM,"2,280",,,
17025,Bovezzo,BS,LOM,"7,512",,,
17026,Brandico,BS,LOM,"1,653",,,
17027,Braone,BS,LOM,673,,,
17028,Breno,BS,LOM,"4,965",,,
17029,Brescia,BS,LOM,"193,879",,,
17030,Brione,BS,LOM,703,,,
17031,Caino,BS,LOM,"2,082",,,
17032,Calcinato,BS,LOM,"12,725",8,55,6
17033,Calvagese della Riviera,BS,LOM,"3,501",,,
17034,Calvisano,BS,LOM,"8,726",,,
17035,Capo di Ponte,BS,LOM,"2,519",,,
17036,Capovalle,BS,LOM,401,,,
17037,Capriano del Colle,BS,LOM,"4,499",,,
17038,Capriolo,BS,LOM,"9,322",,,
17039,Carpenedolo,BS,LOM,"12,698",,,
17040,Castegnato,BS,LOM,"7,987",,,
17042,Castel Mella,BS,LOM,"10,803",,,
17041,Castelcovati,BS,LOM,"6,564",,,
17043,Castenedolo,BS,LOM,"11,215",,,
17044,Casto,BS,LOM,"1,900",,,
17045,Castrezzato,BS,LOM,"7,018",,,
17046,Cazzago San Martino,BS,LOM,"11,060",6,34,16
17047,Cedegolo,BS,LOM,"1,256",,,
17048,Cellatica,BS,LOM,"4,943",,,
17049,Cerveno,BS,LOM,674,,,
17050,Ceto,BS,LOM,"1,963",,,
17051,Cevo,BS,LOM,949,,,
17052,Chiari,BS,LOM,"18,887",,,
17053,Cigole,BS,LOM,"1,669",,,
17054,Cimbergo,BS,LOM,579,,,
17055,Cividate Camuno,BS,LOM,"2,776",,,
17056,Coccaglio,BS,LOM,"8,575",4,52,12
17057,Collebeato,BS,LOM,"4,771",,,
17058,Collio,BS,LOM,"2,292",,,
17059,Cologne,BS,LOM,"7,600",,,
17060,Comezzano-Cizzago,BS,LOM,"3,702",,,
17061,Concesio,BS,LOM,"15,005",,,
17062,Corte Franca,BS,LOM,"7,189",,,
17063,Corteno Golgi,BS,LOM,"2,028",,,
17064,Corzano,BS,LOM,"1,358",,,
17065,Darfo Boario Terme,BS,LOM,"15,751",,,
17066,Dello,BS,LOM,"5,575",,,
17067,Desenzano del Garda,BS,LOM,"27,229",,,
