"istatId","name","month","d15","d16","d17","d18","d19","d20","istatMarch","ecoBG","bsToday","mar19","mar20","officialCovid","population","nameItSt","lng","lat"
"1001","Agliè","3","1","3","1","3","3","7","1",,,,,,"2644","Agliè","7.76860000","45.36343304"
"1006","Almese","3","2","1","2","3","2","3","1",,,,,,"6303","Almese","7.39518194","45.11766321"
"1020","Banchette","3","3","1","1","4","1","6","1",,,,,,"3280","Banchette","7.85656384","45.46085010"
"1024","Beinasco","3","16","10","9","17","18","27","1",,,,,,"18104","Beinasco","7.57915804","45.02207899"
"1045","Buttigliera Alta","3","3","8","2","5","4","6","1",,,,,,"6386","Buttigliera Alta","7.43678073","45.06701514"
"1059","Carmagnola","3","6","12","18","17","17","24","1",,,,,,"28563","Carmagnola","7.71815745","44.84654865"
"1066","Castellamonte","3","6","10","6","3","9","9","1",,,,,,"9917","Castellamonte","7.70986533","45.38333540"
"1110","Frossasco","3","1","4","4","0","1","5","1",,,,,,"2840","Frossasco","7.35077043","44.93362239"
"1128","Lanzo Torinese","3","5","4","5","2","2","8","1",,,,,,"5150","Lanzo Torinese","7.47661560","45.27231992"
"1146","Mathi","3","2","0","1","6","0","4","1",,,,,,"3985","Mathi","7.54132093","45.25664137"
"1168","None","3","2","3","4","4","5","5","1",,,,,,"7998","None","7.54123958","44.93231301"
"1171","Orbassano","3","16","15","8","19","15","18","1",,,,,,"22537","Orbassano","7.53695676","45.00703303"
"1178","Pancalieri","3","1","0","4","3","0","2","1",,,,,,"1985","Pancalieri","7.58816166","44.83047398"
"1195","Piscina","3","2","2","3","3","3","6","1",,,,,,"3450","Piscina","7.42589738","44.91946420"
"1216","Rivara","3","1","1","1","0","1","3","1",,,,,,"2666","Rivara","7.62506151","45.33231529"
"1241","Sangano","3","2","6","0","2","2","3","1",,,,,,"3807","Sangano","7.45053852","45.02623590"
"1244","San Giorgio Canavese","3","1","4","0","1","5","4","1",,,,,,"2705","San Giorgio Canavese","7.79425943","45.33544394"
"1246","San Giusto Canavese","3","0","0","2","3","1","8","1",,,,,,"3397","San Giusto Canavese","7.80833346","45.31221415"
"1252","San Raffaele Cimena","3","1","0","1","1","4","4","1",,,,,,"3107","San Raffaele Cimena","7.84869672","45.14722500"
"1254","San Secondo di Pinerolo","3","3","0","2","4","6","4","1",,,,,,"3608","San Secondo di Pinerolo","7.29864772","44.86656606"
"1269","Strambino","3","8","4","6","0","7","11","1",,,,,,"6336","Strambino","7.88062828","45.38458718"
"1287","Valperga","3","6","1","3","4","2","4","1",,,,,,"3163","Valperga","7.65678710","45.37027102"
"1293","Verolengo","3","2","4","4","4","3","7","1",,,,,,"4962","Verolengo","7.96715786","45.18904937"
"1307","Villar Perosa","3","9","3","1","1","4","9","1",,,,,,"4149","Villar Perosa","7.24926893","44.92019309"
"1308","Villastellone","3","3","0","4","2","6","4","1",,,,,,"4864","Villastellone","7.74535320","44.92155495"
"1314","Volpiano","3","6","16","10","12","15","15","1",,,,,,"14998","Volpiano","7.77555033","45.20189898"
"2016","Borgosesia","3","7","7","7","11","11","20","1",,,,,,"13031","Borgosesia","8.27641052","45.71672956"
"2061","Gattinara","3","7","6","4","8","10","13","1",,,,,,"8272","Gattinara","8.37128081","45.61734452"
"2133","Santhià","3","13","5","2","3","6","9","1",,,,,,"8825","Santhià","8.17435014","45.36692200"
"2148","Trino","3","7","8","6","5","7","11","1",,,,,,"7437","Trino","8.29690047","45.19420619"
"2156","Varallo","3","3","12","6","6","6","13","1",,,,,,"7542","Varallo","8.25621194","45.81403992"
"3016","Bellinzago Novarese","3","2","7","1","8","6","8","1",,,,,,"9375","Bellinzago Novarese","8.63973111","45.57030363"
"3025","Borgo Ticino","3","1","1","4","0","5","5","1",,,,,,"4929","Borgo Ticino","8.60392229","45.68806799"
"3032","Cameri","3","5","5","6","9","10","10","1",,,,,,"10770","Cameri","8.66224358","45.50102461"
"3049","Cerano","3","3","1","5","3","4","9","1",,,,,,"6728","Cerano","8.78085515","45.41067427"
"3055","Cressa","3","3","3","0","0","1","4","1",,,,,,"1571","Cressa","8.50748369","45.64799409"
"3065","Fara Novarese","3","1","5","1","1","2","5","1",,,,,,"2113","Fara Novarese","8.45911220","45.55511789"
"3073","Ghemme","3","2","6","0","2","4","8","1",,,,,,"3617","Ghemme","8.42009104","45.59781069"
"3076","Gozzano","3","4","5","5","5","4","7","1",,,,,,"5601","Gozzano","8.43465086","45.74755669"
"3079","Grignasco","3","3","4","3","6","2","7","1",,,,,,"4691","Grignasco","8.33970898","45.68190215"
"3088","Maggiora","3","1","0","1","2","3","2","1",,,,,,"1742","Maggiora","8.42099488","45.69075412"
"3108","Oleggio","3","12","8","6","4","15","17","1",,,,,,"13650","Oleggio","8.63736389","45.59668789"
"3120","Pogno","3","0","1","3","5","0","7","1",,,,,,"1538","Pogno","8.38307485","45.75667233"
"3122","Prato Sesia","3","2","0","3","2","4","3","1",,,,,,"1993","Prato Sesia","8.37377395","45.64787501"
"3131","Romentino","3","3","1","1","6","4","6","1",,,,,,"5379","Romentino","8.72085352","45.46260428"
"3149","Trecate","3","13","11","9","8","10","14","1",,,,,,"19856","Trecate","8.73505551","45.43190444"
"4009","Bagnolo Piemonte","3","1","3","3","2","2","7","1",,,,,,"6040","Bagnolo Piemonte","7.31548217","44.75990270"
"4012","Barge","3","3","5","3","6","14","8","1",,,,,,"7861","Barge","7.32339364","44.72522006"
