istat,comune,lng,lat
1001,Agliè,7.76860000,45.36343304
1002,Airasca,7.48443104,44.91688598
1003,Ala di Stura,7.30434392,45.31511014
1004,Albiano d'Ivrea,7.94914491,45.43389336
1005,Alice Superiore,7.77701858,45.46009360
1006,Almese,7.39518194,45.11766321
1007,Alpette,7.57859732,45.40998223
1008,Alpignano,7.52426733,45.09446973
1009,Andezeno,7.86994864,45.03586095
1010,Andrate,7.87383937,45.52837479
1011,Angrogna,7.22429215,44.84344991
1012,Arignano,7.90244635,45.04402899
1013,Avigliana,7.39632339,45.07935742
1014,Azeglio,7.99477070,45.42486190
1015,Bairo,7.75691809,45.38624929
1016,Balangero,7.51930957,45.27003001
1017,Baldissero Canavese,7.74444451,45.40840358
1018,Baldissero Torinese,7.81780767,45.06842334
1019,Balme,7.21831414,45.30229406
1020,Banchette,7.85656384,45.46085010
1021,Barbania,7.63051093,45.29050020
1022,Bardonecchia,6.70382393,45.07816901
1023,Barone Canavese,7.87055626,45.32772558
1024,Beinasco,7.57915804,45.02207899
1025,Bibiana,7.28978596,44.79758015
1026,Bobbio Pellice,7.11790449,44.80770617
1027,Bollengo,7.94534881,45.47335720
1028,Borgaro Torinese,7.65789441,45.15198241
1029,Borgiallo,7.66773369,45.41681320
1030,Borgofranco d'Ivrea,7.85852209,45.51300686
1031,Borgomasino,7.98879962,45.36155134
1032,Borgone Susa,7.24121397,45.12313936
1033,Bosconero,7.76506984,45.26856393
1034,Brandizzo,7.84147562,45.17765247
1035,Bricherasio,7.30288754,44.82558164
1036,Brosso,7.80333443,45.49276005
1037,Brozolo,8.07127843,45.11741930
1038,Bruino,7.46769111,45.02023250
1039,Brusasco,8.06009417,45.15595512
1040,Bruzolo,7.19397692,45.14312487
1041,Buriasco,7.41192286,44.87335846
1042,Burolo,7.93205672,45.48411969
1043,Busano,7.65574370,45.32883648
1044,Bussoleno,7.14931876,45.13727952
1045,Buttigliera Alta,7.43678073,45.06701514
1046,Cafasse,7.51812356,45.24471151
1047,Caluso,7.89150532,45.30786205
1048,Cambiano,7.77932471,44.97345960
1049,Campiglione Fenile,7.32503803,44.80212440
1050,Candia Canavese,7.88661250,45.32816809
1051,Candiolo,7.60121104,44.96026547
1052,Canischio,7.59521831,45.37434585
1053,Cantalupa,7.33260383,44.94030975
1054,Cantoira,7.38167977,45.34323553
1055,Caprie,7.33250655,45.11786515
1056,Caravino,7.96021360,45.39860532
1057,Carema,7.81230448,45.58444747
1058,Carignano,7.67534298,44.90666664
1059,Carmagnola,7.71815745,44.84654865
1060,Casalborgone,7.94044052,45.12996270
1061,Cascinette d'Ivrea,7.90469845,45.47845422
1062,Caselette,7.48320717,45.10588105
1063,Caselle Torinese,7.64818634,45.17716554
1064,Castagneto Po,7.88698844,45.16060833
1065,Castagnole Piemonte,7.56655619,44.89861960
1066,Castellamonte,7.70986533,45.38333540
1067,Castelnuovo Nigra,7.69511431,45.43732305
1068,Castiglione Torinese,7.81609370,45.12330917
1069,Cavagnolo,8.05131021,45.15207451
1070,Cavour,7.37523198,44.78403126
1071,Cercenasco,7.50125803,44.86126074
1072,Ceres,7.38934335,45.31307899
1073,Ceresole Reale,7.23254114,45.43261794
1074,Cesana Torinese,6.79422776,44.95241086
1075,Chialamberto,7.34570078,45.36285948
1076,Chianocco,7.16939346,45.14858580
1077,Chiaverano,7.90312753,45.49939701
1078,Chieri,7.82107157,45.01315317
1079,Chiesanuova,7.65605931,45.41780821
1080,Chiomonte,6.98338614,45.11938583
1081,Chiusa di San Michele,7.32644490,45.10154711
1082,Chivasso,7.88713950,45.18855522
1083,Ciconio,7.75987216,45.33032199
1084,Cintano,7.68662115,45.42805026
1085,Cinzano,7.92112148,45.09389859
1086,Ciriè,7.60378213,45.23202337
1087,Claviere,6.74930630,44.93861812
1088,Coassolo Torinese,7.46132937,45.30071349
1089,Coazze,7.29464354,45.05141806
1090,Collegno,7.56912947,45.07740152
1091,Colleretto Castelnuovo,7.67898169,45.42140642
1092,Colleretto Giacosa,7.79996443,45.43288813
1093,Condove,7.31072991,45.11714338
1094,Corio,7.53256155,45.31274311
1095,Cossano Canavese,7.99337324,45.38833099
1096,Cuceglio,7.81484395,45.35892893
1097,Cumiana,7.37437677,44.98279566
1098,Cuorgnè,7.64891501,45.39122707
1099,Druento,7.57620424,45.13473277
1100,Exilles,6.92962420,45.09749088
1101,Favria,7.68801437,45.33284709
1102,Feletto,7.74710800,45.30549111
1103,Fenestrelle,7.05188671,45.03429618
1104,Fiano,7.51978357,45.21812133
1105,Fiorano Canavese,7.82897738,45.46756986
1106,Foglizzo,7.82317874,45.27201738
1107,Forno Canavese,7.58678049,45.34683712
1108,Frassinetto,7.60567906,45.43603247
1109,Front,7.66559657,45.27955070
1110,Frossasco,7.35077043,44.93362239
1111,Garzigliana,7.37473116,44.83677569
1112,Gassino Torinese,7.82489660,45.12745280
1113,Germagnano,7.46686447,45.26218096
1114,Giaglione,7.01413849,45.13968801
1115,Giaveno,7.35308652,45.04475307
1116,Givoletto,7.49677295,45.15877935
1117,Gravere,7.02107286,45.12391840
1118,Groscavallo,7.28229522,45.36895345
1119,Grosso,7.55663354,45.25636722
1120,Grugliasco,7.57780057,45.06211095
1121,Ingria,7.57086278,45.46629106
1122,Inverso Pinasca,7.21596397,44.94722972
1123,Isolabella,7.90926775,44.90664468
1124,Issiglio,7.75416284,45.44680942
1125,Ivrea,7.87596694,45.46618879
1126,La Cassa,7.51913001,45.18182357
1127,La Loggia,7.66770716,44.95667810
1128,Lanzo Torinese,7.47661560,45.27231992
1129,Lauriano,7.99166951,45.15845502
1130,Leini,7.71510758,45.18393696
1131,Lemie,7.29288179,45.22855660
1132,Lessolo,7.81421978,45.47615621
1133,Levone,7.60590068,45.31810409
1134,Locana,7.46126241,45.41699254
1135,Lombardore,7.73626699,45.23570752
1136,Lombriasco,7.63577870,44.84160233
1137,Loranzè,7.81087110,45.44223125
1138,Lugnacco,7.78064470,45.44465477
1139,Luserna San Giovanni,7.24579065,44.81432177
1140,Lusernetta,7.25023582,44.80236620
1141,Lusigliè,7.76646663,45.31856534
1142,Macello,7.40079259,44.85117887
1143,Maglione,8.01174454,45.34770337
1144,Marentino,7.87332971,45.05800482
1145,Massello,7.05631276,44.95856162
1146,Mathi,7.54132093,45.25664137
1147,Mattie,7.11215191,45.11870520
1148,Mazzè,7.93700162,45.29853622
1149,Meana di Susa,7.06814068,45.12073332
1150,Mercenasco,7.88256683,45.35697859
1151,Meugliano,7.77896220,45.49006995
1152,Mezzenile,7.39502001,45.29240402
1153,Mombello di Torino,7.91954830,45.04640010
1154,Mompantero,7.05797330,45.13990657
1155,Monastero di Lanzo,7.43913232,45.30142445
1156,Moncalieri,7.68524785,45.00092557
1157,Moncenisio,6.98356095,45.20528865
1158,Montaldo Torinese,7.85089356,45.06636449
1159,Montalenghe,7.83985641,45.33772294
1160,Montalto Dora,7.86379472,45.49362402
1161,Montanaro,7.85282569,45.23289425
1162,Monteu da Po,8.01478453,45.15054215
1163,Moriondo Torinese,7.94405562,45.03906243
1164,Nichelino,7.64737268,44.99519052
1165,Noasca,7.31354369,45.45305086
1166,Nole,7.57012122,45.24523673
1167,Nomaglio,7.85971537,45.53518242
1168,None,7.54123958,44.93231301
1169,Novalesa,7.01466579,45.18763602
1170,Oglianico,7.69274392,45.34256696
1171,Orbassano,7.53695676,45.00703303
1172,Orio Canavese,7.86029968,45.32848958
1173,Osasco,7.34316619,44.84947467
1174,Osasio,7.60752807,44.86946279
1175,Oulx,6.83221872,45.03127204
1176,Ozegna,7.74313424,45.34901489
1177,Palazzo Canavese,7.97804950,45.45747804
1178,Pancalieri,7.58816166,44.83047398
1179,Parella,7.79102750,45.42998528
1180,Pavarolo,7.83475798,45.06892615
1181,Pavone Canavese,7.85397607,45.43526120
1182,Pecco,7.77647961,45.45206809
1183,Pecetto Torinese,7.74869987,45.01955866
1184,Perosa Argentina,7.19237022,44.95809915
1185,Perosa Canavese,7.82925599,45.39715691
1186,Perrero,7.11526705,44.93745704
1187,Pertusio,7.63872415,45.35339905
1188,Pessinetto,7.40284722,45.29054324
1189,Pianezza,7.54635756,45.10062332
1190,Pinasca,7.22767284,44.94266195
1191,Pinerolo,7.33200099,44.88733486
1192,Pino Torinese,7.77216514,45.04352010
1193,Piobesi Torinese,7.61193106,44.93305708
1194,Piossasco,7.46275512,44.99070006
1195,Piscina,7.42589738,44.91946420
1196,Piverone,8.00710274,45.44754377
1197,Poirino,7.84361932,44.92119885
1198,Pomaretto,7.18220303,44.95506624
1199,Pont-Canavese,7.59357096,45.42072843
1200,Porte,7.26798510,44.88756523
1201,Pragelato,6.94229337,45.01627560
1202,Prali,7.04904363,44.89040764
1203,Pralormo,7.90066311,44.86135787
1204,Pramollo,7.21169848,44.90458825
1205,Prarostino,7.26972140,44.86584045
1206,Prascorsano,7.61570863,45.36765655
1207,Pratiglione,7.59609066,45.35364806
1208,Quagliuzzo,7.78183655,45.42649496
1209,Quassolo,7.83247599,45.52493469
1210,Quincinetto,7.80576899,45.56081088
1211,Reano,7.42955396,45.05170702
1212,Ribordone,7.50241918,45.43160898
1213,Rivalba,7.88704470,45.11880638
1214,Rivalta di Torino,7.52329257,45.03454517
1215,Riva presso Chieri,7.86919927,44.98628102
1216,Rivara,7.62506151,45.33231529
1217,Rivarolo Canavese,7.72522130,45.33279488
1218,Rivarossa,7.71719961,45.25127899
1219,Rivoli,7.53394487,45.07062854
1220,Robassomero,7.57015928,45.20008262
1221,Rocca Canavese,7.57853704,45.30940721
1222,Roletto,7.33066832,44.92524919
1223,Romano Canavese,7.86790447,45.39134325
1224,Ronco Canavese,7.54567243,45.49942910
1225,Rondissone,7.96581632,45.24678796
1226,Rorà,7.19849234,44.79230499
1227,Roure,7.12908516,45.00108393
1228,Rosta,7.46396720,45.07142005
1229,Rubiana,7.38239842,45.13920427
1230,Rueglio,7.75582201,45.46784892
1231,Salassa,7.68939186,45.35955646
1232,Salbertrand,6.88368812,45.07237164
1233,Salerano Canavese,7.84990248,45.45644258
1234,Salza di Pinerolo,7.05324489,44.94054394
1235,Samone,7.84564332,45.44928553
1236,San Benigno Canavese,7.78265511,45.22396157
1237,San Carlo Canavese,7.61016157,45.24815307
1238,San Colombano Belmonte,7.61845112,45.38143971
1239,San Didero,7.21515502,45.13516257
1240,San Francesco al Campo,7.65566462,45.22553762
1241,Sangano,7.45053852,45.02623590
1242,San Germano Chisone,7.24085653,44.89871585
1243,San Gillio,7.53383254,45.14205994
1244,San Giorgio Canavese,7.79425943,45.33544394
1245,San Giorio di Susa,7.17753154,45.12841513
1246,San Giusto Canavese,7.80833346,45.31221415
1247,San Martino Canavese,7.81836251,45.39459427
1248,San Maurizio Canavese,7.63075305,45.21911823
1249,San Mauro Torinese,7.76632833,45.10309541
1250,San Pietro Val Lemina,7.31355518,44.90732828
1251,San Ponso,7.66751665,45.35081649
1252,San Raffaele Cimena,7.84869672,45.14722500
1253,San Sebastiano da Po,7.95346930,45.16644198
1254,San Secondo di Pinerolo,7.29864772,44.86656606
1255,Sant'Ambrogio di Torino,7.35931306,45.09968774
1256,Sant'Antonino di Susa,7.27350974,45.10708303
1257,Santena,7.77316006,44.94968716
1258,Sauze di Cesana,6.86049707,44.94044645
1259,Sauze d'Oulx,6.85824935,45.02808681
1260,Scalenghe,7.49796536,44.88830917
1261,Scarmagno,7.84071060,45.38582635
1262,Sciolze,7.87766236,45.09503651
1263,Sestriere,6.87655108,44.95764886
1264,Settimo Rottaro,7.99223087,45.40489983
1265,Settimo Torinese,7.77124007,45.13698893
1266,Settimo Vittone,7.83172100,45.54810664
1267,Sparone,7.54421421,45.41330062
1268,Strambinello,7.76866207,45.42324307
1269,Strambino,7.88062828,45.38458718
1270,Susa,7.04641962,45.13525075
1271,Tavagnasco,7.82261044,45.54322012
1272,Torino,7.68068748,45.07327450
1273,Torrazza Piemonte,7.97490120,45.21520992
1274,Torre Canavese,7.76053919,45.39182464
1275,Torre Pellice,7.22397861,44.82074148
1276,Trana,7.41730319,45.03709504
1277,Trausella,7.76450377,45.49022243
1278,Traversella,7.75041006,45.50940960
1279,Traves,7.42974781,45.27057879
1280,Trofarello,7.74030330,44.98596444
1281,Usseaux,7.02687343,45.04849799
1282,Usseglio,7.21722031,45.23272497
1283,Vaie,7.28663072,45.10189314
1284,Val della Torre,7.44941143,45.15556488
1285,Valgioie,7.33963962,45.07600826
1286,Vallo Torinese,7.49928924,45.22350106
1287,Valperga,7.65678710,45.37027102
1288,Valprato Soana,7.54896650,45.52237380
1289,Varisella,7.48902531,45.20984085
1290,Vauda Canavese,7.61820790,45.27924268
1291,Venaus,7.01194778,45.15470177
1292,Venaria Reale,7.63149732,45.13253740
1293,Verolengo,7.96715786,45.18904937
1294,Verrua Savoia,8.09314758,45.15655009
1295,Vestignè,7.95387863,45.38670164
1296,Vialfrè,7.81817187,45.38083894
1297,Vico Canavese,7.77942268,45.49432405
1298,Vidracco,7.75901516,45.43045472
1299,Vigone,7.49452417,44.84235593
1300,Villafranca Piemonte,7.50450846,44.78128218
1301,Villanova Canavese,7.55354045,45.24293558
1302,Villarbasse,7.46800102,45.04487159
1303,Villar Dora,7.38382219,45.11783797
1304,Villareggia,7.97850007,45.31101176
1305,Villar Focchiardo,7.22668959,45.10971506
1306,Villar Pellice,7.15827939,44.80859193
1307,Villar Perosa,7.24926893,44.92019309
1308,Villastellone,7.74535320,44.92155495
1309,Vinovo,7.63424154,44.94878443
1310,Virle Piemonte,7.56889069,44.86594197
1311,Vische,7.95138039,45.33156931
1312,Vistrorio,7.76941978,45.44109707
1313,Viù,7.37646792,45.23894208
1314,Volpiano,7.77555033,45.20189898
1315,Volvera,7.51230483,44.95502486
1316,Mappano,7.7070,45.1475
2002,Alagna Valsesia,7.93812982,45.85332586
2003,Albano Vercellese,8.38058282,45.42511503
2004,Alice Castello,8.07469466,45.36652862
2006,Arborio,8.38898545,45.49608576
2007,Asigliano Vercellese,8.40619426,45.26117617
2008,Balmuccia,8.13825637,45.81834722
2009,Balocco,8.28103358,45.45553463
2011,Bianzè,8.12006412,45.30737818
2014,Boccioleto,8.11329092,45.82998665
2015,Borgo d'Ale,8.05372704,45.34991763
2016,Borgosesia,8.27641052,45.71672956
2017,Borgo Vercelli,8.46637050,45.35715818
2019,Breia,8.30720564,45.76411748
2021,Buronzo,8.26833442,45.48211892
2025,Campertogno,8.03216717,45.79867325
2029,Carcoforo,8.04890161,45.90888987
2030,Caresana,8.50648564,45.22108416
2031,Caresanablot,8.38877273,45.35735225
2032,Carisio,8.19858607,45.40846100
2033,Casanova Elvo,8.29330690,45.39952964
2035,San Giacomo Vercellese,8.32534514,45.49741181
2038,Cellio,8.31309615,45.75546715
2041,Cervatto,8.16235419,45.88308084
2042,Cigliano,8.02148900,45.30955700
2043,Civiasco,8.29278728,45.80668518
2045,Collobiano,8.34853582,45.39712515
2047,Costanzana,8.37006540,45.23619745
2048,Cravagliana,8.20112963,45.84734738
2049,Crescentino,8.10258275,45.19232707
2052,Crova,8.21192995,45.33003762
2054,Desana,8.35745053,45.26873384
2057,Fobello,8.15891887,45.88955756
2058,Fontanetto Po,8.19171653,45.19339547
2059,Formigliana,8.29291060,45.42877725
2061,Gattinara,8.37128081,45.61734452
2062,Ghislarengo,8.38432306,45.52931694
2065,Greggio,8.38247553,45.45180309
2066,Guardabosone,8.25032253,45.70093910
2067,Lamporo,8.09755020,45.23008153
2068,Lenta,8.38444808,45.55556369
2070,Lignana,8.34604641,45.28529590
2071,Livorno Ferraris,8.08199764,45.28165932
2072,Lozzolo,8.32207950,45.62258776
2078,Mollia,8.03096665,45.81528283
2079,Moncrivello,7.99586116,45.33122991
2082,Motta de' Conti,8.52077102,45.19150237
2088,Olcenengo,8.31138984,45.36359420
2089,Oldenico,8.38272080,45.40235336
2090,Palazzolo Vercellese,8.23282434,45.18450002
2091,Pertengo,8.41762904,45.23562007
2093,Pezzana,8.48420194,45.26206373
2096,Pila,8.08081524,45.77024834
2097,Piode,8.05308685,45.76976604
2102,Postua,8.23149631,45.71418815
2104,Prarolo,8.47934379,45.28222769
2107,Quarona,8.26542166,45.75985229
2108,Quinto Vercellese,8.36218487,45.38047939
2110,Rassa,8.01419350,45.76862660
2111,Rima San Giuseppe,8.02339104,45.86531097
