Codice comune,Popolazione al 1/1/19
1001,2635
1002,3681
1003,453
1004,1646
1006,6378
1007,242
1008,16379
1009,2013
1010,499
1011,863
1012,1075
1013,12563
1014,1258
1015,800
1016,3163
1017,542
1018,3680
1019,111
1020,3239
1021,1604
1022,3149
1023,589
1024,17936
1025,3463
1026,545
1027,2167
1028,11912
1029,588
1030,3672
1031,788
1032,2209
1033,3133
1034,8738
1035,4616
1036,394
1037,436
1038,8696
1039,1528
1040,1526
1041,1351
1042,1144
1043,1636
1044,5941
1045,6407
1046,3416
1047,7544
1048,5980
1049,1341
1050,1232
1051,5635
1052,277
1053,2620
1054,576
1055,2085
1056,902
1057,771
1058,9274
1059,28969
1060,1887
1061,1511
1062,3030
1063,13958
1064,1782
1065,2244
1066,9946
1067,430
1068,6501
1069,2059
1070,5492
1071,1809
1072,1045
1073,167
1074,943
1075,368
1076,1612
1077,2058
1078,36958
1079,233
1080,887
1081,1622
1082,26909
1083,388
1084,252
1085,330
1086,18576
1087,210
1088,1497
1089,3236
1090,49686
1091,316
1092,573
1093,4596
1094,3209
1095,486
1096,989
1097,7895
1098,9677
1099,8863
1100,251
1101,5247
1102,2265
1103,510
1104,2667
1105,769
1106,2319
1107,3336
1108,280
1109,1641
1110,2866
1111,552
1112,9559
1113,1166
1114,609
1115,16386
1116,3939
1117,676
1118,199
1119,1025
1120,37592
1121,44
1122,702
1123,383
1124,387
1125,23442
1126,1803
1127,8846
1128,5015
1129,1436
1130,16456
1131,207
1132,1820
1133,442
1134,1438
1135,1735
1136,1045
1137,1166
1139,7248
1140,496
1141,569
1142,1169
1143,417
1144,1306
1145,54
1146,3846
1147,669
1148,4142
1149,788
1150,1231
1152,797
1153,390
1154,649
1155,346
1156,57527
1157,35
1158,720
1159,996
1160,3401
1161,5180
1162,854
1163,843
1164,47494
1165,116
1166,6817
1167,286
1168,8022
1169,538
1170,1489
1171,23352
1172,774
1173,1153
1174,917
1175,3371
1176,1227
1177,837
1178,2091
1179,430
1180,1135
1181,3848
1183,4045
1184,3171
1185,520
1186,645
1187,758
1188,617
1189,15391
1190,2937
1191,36119
1192,8402
1193,3806
1194,18366
1195,3370
1196,1365
1197,10412
1198,1011
1199,3290
1200,1034
1201,775
1202,239
1203,1905
1204,224
1205,1283
1206,753
1207,514
1208,331
1209,345
1210,1030
1211,1774
1212,49
1213,1153
1214,20068
1215,4749
1216,2586
1217,12462
1218,1592
1219,48542
1220,3066
1221,1714
1222,2034
1223,2651
1224,300
1225,1887
1226,237
1227,797
1228,4957
1229,2373
1230,777
1231,1850
1232,617
1233,473
1234,77
1235,1581
1236,6030
1237,4024
1238,354
1239,540
1240,4908
1241,3752
1242,1761
1243,3193
1244,2567
1245,967
1246,3355
1247,817
